ID,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,cv_38,cv_39,cv_40,cv_41,cv_42,cv_43,cv_44,cv_45,cv_46,cv_47,cv_48,cv_49,cv_50,cv_51,cv_52,cv_53,cv_54,cv_55,cv_56,cv_57,cv_58,cv_59,cv_60,cv_61,cv_62,cv_63,cv_64,cv_65,cv_66,cv_67,cv_68,cv_69,cv_70,cv_71,cv_72,cv_73,cv_74,cv_75,cv_76,cv_77,cv_78,cv_79,cv_80,cv_81,cv_82,cv_83,cv_84,cv_85,cv_86,cv_87,cv_88,cv_89,cv_90,cv_91,cv_92,cv_93,cv_94,cv_95,cv_96,cv_97,cv_98,cv_99,cv_100
22,2,5,4,4,4,2,1,4,3,2,3,2,3,2,4,4,1,2,1,4,4,3,4,2,5,4,4,2,2,4,3,4,4,2,1,1,5,4,3,3,1,1,3,5,4,2,5,5,1,4,2,2,3,3,3,4,4,5,5,5,1,1,4,3,2,1,4,3,4,1,3,1,5,3,4,2,5,1,2,3,2,4,1,4,4,4,1,1,3,1,3,5,5,5,1,5,4,1,3,2
23,5,5,1,4,2,5,2,3,5,2,4,2,5,2,2,2,3,4,5,3,5,1,4,4,4,4,5,2,4,1,4,3,4,1,4,3,4,5,3,3,2,5,4,5,4,3,3,5,3,5,4,2,1,4,1,4,4,5,3,2,1,3,1,1,1,3,1,4,4,1,1,3,2,1,5,4,5,5,5,4,2,2,1,1,5,4,2,2,1,4,5,2,4,1,3,3,2,1,4,3
24,1,3,3,1,1,5,5,2,4,2,1,4,3,4,1,5,5,1,3,5,5,3,3,5,4,5,3,2,3,5,4,4,4,5,3,1,3,3,4,1,1,3,5,5,1,5,2,1,2,2,1,5,3,5,4,3,2,5,2,4,5,2,4,2,2,5,2,3,5,2,4,4,4,2,5,5,4,1,5,4,2,5,1,2,3,4,3,1,2,2,5,3,3,3,2,3,2,5,1,2
25,1,4,2,5,2,4,5,4,2,5,2,5,3,2,4,2,2,3,1,4,1,5,4,4,2,5,1,1,4,3,5,2,3,1,2,3,4,4,1,5,5,5,1,3,1,4,3,4,1,4,1,1,1,5,3,4,5,3,1,5,3,4,4,5,1,1,3,3,5,1,1,5,5,3,1,1,1,3,3,3,3,1,5,2,1,1,5,4,3,3,2,2,1,4,2,4,4,3,3,4
26,5,3,1,5,4,3,4,1,1,1,4,2,5,5,1,5,1,4,5,5,3,1,2,3,3,4,5,1,1,5,5,5,2,5,5,1,4,5,4,3,5,1,4,1,3,4,2,5,1,5,4,4,5,3,2,1,2,3,4,5,3,4,3,1,4,1,2,5,3,5,2,1,4,3,5,3,1,5,2,1,4,5,5,4,1,4,5,3,3,2,5,3,5,3,1,4,3,2,5,3
27,3,3,3,4,2,2,1,2,3,5,1,3,2,3,1,1,5,5,3,4,2,5,1,2,5,1,1,2,1,2,4,2,2,5,1,1,2,2,2,3,4,5,3,3,5,1,1,3,5,5,5,5,3,2,2,4,4,3,3,2,5,2,5,4,5,3,1,3,3,1,2,2,2,1,2,2,5,1,1,2,2,4,4,5,5,2,4,4,4,4,3,4,2,1,1,2,3,5,1,2
28,2,4,2,5,3,1,1,2,4,4,3,2,2,4,3,2,5,4,3,3,2,5,1,5,2,1,3,4,5,3,4,1,3,3,4,5,3,2,4,5,3,4,4,4,1,3,5,1,1,1,5,3,5,5,5,3,4,4,1,3,5,3,3,2,1,5,3,3,3,4,3,3,5,2,1,5,2,5,2,2,1,2,4,4,5,5,5,2,3,3,5,4,2,5,5,4,5,4,5,4
29,2,5,3,1,2,5,4,1,4,1,4,1,4,1,4,1,1,3,2,4,1,3,5,1,1,5,4,2,3,4,1,4,4,3,3,5,3,5,5,3,2,2,1,4,4,3,2,1,5,3,1,3,3,4,5,5,3,1,1,2,2,5,4,2,4,5,5,5,1,4,2,5,2,3,5,3,5,1,3,5,4,5,4,1,5,2,2,2,2,1,1,4,1,4,4,3,2,2,5,5
30,4,4,3,4,4,1,5,4,5,3,3,5,4,1,3,5,5,1,1,5,5,5,2,4,4,3,1,5,3,1,5,4,4,2,2,3,4,2,2,2,5,1,1,4,3,5,2,4,3,4,5,2,4,2,5,1,5,2,3,5,4,3,4,5,3,5,2,2,5,4,1,4,4,1,2,1,2,5,3,5,2,5,2,1,5,1,4,4,2,5,3,2,4,2,2,3,2,4,5,4
31,1,3,4,5,4,4,3,2,4,5,1,5,2,4,2,1,1,5,5,5,2,3,5,2,1,3,2,2,5,3,1,3,5,5,2,4,1,5,3,1,5,5,5,1,3,3,3,4,3,1,1,5,1,1,4,1,1,2,2,1,2,1,4,5,1,2,2,2,2,4,3,1,1,4,1,3,1,2,1,3,5,3,4,1,2,1,1,4,2,3,1,1,1,2,3,1,5,1,5,3
32,2,2,1,4,5,5,4,5,2,2,4,1,5,4,3,3,2,2,1,5,3,4,1,3,1,4,3,3,3,4,1,4,2,4,1,1,2,4,4,1,1,4,2,5,3,2,5,3,2,2,5,2,5,5,2,5,4,1,3,3,4,2,5,3,3,2,1,3,1,4,5,2,3,3,5,2,4,4,5,3,4,3,1,5,2,4,5,5,3,5,4,5,3,5,4,5,3,1,1,1
33,1,1,3,4,5,3,1,3,1,2,4,1,5,1,5,4,4,2,3,2,1,4,2,5,3,3,4,3,1,4,5,1,2,2,4,3,4,1,2,1,3,4,1,2,2,4,1,5,2,4,4,1,2,1,5,5,4,3,2,1,4,1,5,4,5,4,4,4,3,5,2,3,4,4,4,4,5,1,1,2,5,5,2,4,3,2,4,1,1,2,2,2,2,4,3,1,1,2,4,4
34,5,5,3,1,4,4,1,1,2,3,3,3,2,1,1,5,2,2,1,2,5,5,5,2,2,1,3,1,3,5,1,4,5,1,5,3,4,3,1,1,1,3,4,5,2,4,2,3,1,5,3,3,2,1,4,5,3,5,2,1,1,5,3,2,1,2,3,4,3,2,2,4,1,1,5,4,5,2,1,1,5,4,4,2,2,3,3,5,1,1,1,5,5,3,3,2,4,3,3,1
35,3,2,3,2,3,1,1,1,1,3,1,3,3,1,3,5,2,1,2,2,3,4,2,5,3,2,3,5,5,5,3,5,1,5,5,3,5,5,1,4,3,3,2,4,3,5,4,3,5,1,3,1,5,3,2,3,5,3,2,4,5,2,1,2,2,4,4,1,3,1,3,4,1,4,3,1,2,4,4,4,4,1,2,4,3,1,2,5,1,2,4,4,2,2,3,2,1,4,4,5
36,3,3,1,4,5,5,3,4,1,5,2,3,5,2,2,5,2,1,5,5,3,5,5,5,5,2,3,4,3,4,4,2,3,4,2,5,2,3,5,1,5,2,5,2,3,2,3,2,2,2,2,5,4,1,1,4,5,4,5,5,5,1,2,2,5,2,5,1,5,1,2,2,1,1,1,1,5,2,3,2,1,3,3,2,5,5,2,5,4,1,3,2,2,3,3,4,1,5,1,1
37,3,4,4,2,2,2,5,5,5,1,5,4,4,3,5,4,3,1,3,1,4,5,1,4,2,3,5,5,5,5,4,5,1,5,2,3,1,2,4,2,4,5,5,2,3,1,2,4,4,5,1,2,1,3,5,5,4,5,5,4,4,3,3,3,4,4,1,5,3,2,3,2,3,3,3,5,4,1,5,4,2,4,5,1,4,3,3,2,5,2,5,5,3,5,2,2,2,3,2,2
38,3,3,3,2,4,2,5,3,2,3,1,1,5,1,4,4,4,5,5,5,5,1,4,1,5,5,3,2,5,1,5,2,5,5,3,3,5,5,1,2,3,1,5,3,4,3,4,1,2,3,5,4,4,5,4,1,4,3,2,2,3,2,5,4,4,5,1,2,4,1,5,3,5,5,3,4,4,4,5,2,1,3,1,5,4,5,3,3,5,4,5,2,5,5,5,4,5,3,1,1
39,5,4,2,4,5,4,3,5,2,3,4,3,2,4,5,1,1,3,4,1,2,5,1,1,2,1,3,2,4,4,4,5,1,3,4,2,3,4,2,4,1,4,5,4,4,4,2,4,1,4,3,4,5,5,5,1,1,5,3,3,3,2,3,4,5,3,5,4,4,5,5,3,2,5,3,1,5,1,3,1,5,3,2,5,5,2,1,3,2,1,4,1,5,2,2,5,4,1,3,1
40,5,3,3,3,5,1,4,3,3,2,4,4,4,5,1,5,2,5,1,3,3,1,3,5,5,3,3,4,1,3,5,4,5,5,2,1,5,1,3,1,3,2,1,3,4,4,2,5,3,3,2,3,3,2,5,1,3,1,2,2,3,2,1,2,5,5,3,2,2,5,3,2,2,2,1,2,1,5,3,5,4,1,1,1,5,2,5,4,5,1,3,1,5,1,1,5,5,2,1,4
41,2,3,2,4,5,2,3,4,3,5,3,3,2,1,3,2,2,1,4,5,5,3,4,4,3,5,3,3,4,2,4,5,2,3,5,4,5,3,5,2,4,1,3,3,4,2,4,2,4,3,1,1,2,3,3,4,4,5,4,5,1,5,1,1,4,3,2,2,4,4,5,4,1,3,2,5,2,2,3,1,2,1,1,2,2,2,3,2,2,4,4,2,1,1,3,1,4,5,1,4
42,3,5,5,1,1,5,4,4,4,5,5,4,5,1,2,2,3,2,5,4,1,3,1,5,3,1,4,4,4,3,3,2,4,4,3,4,5,1,5,3,1,5,5,1,5,3,4,5,1,2,3,2,4,3,5,1,4,5,3,5,5,4,1,5,5,3,2,5,1,1,3,2,1,5,4,1,4,5,1,4,5,3,3,5,1,2,2,2,1,3,2,4,1,2,4,3,4,1,1,1
43,4,4,3,1,5,4,2,2,3,4,3,5,1,5,3,1,3,3,3,3,1,3,5,3,1,2,3,1,2,3,3,2,1,5,1,3,2,1,2,5,1,2,2,1,1,3,5,4,3,1,1,3,3,4,4,4,2,3,5,2,3,5,2,1,4,2,5,5,2,3,1,2,3,2,1,3,2,1,5,2,3,1,4,2,4,3,2,1,3,4,3,5,4,4,4,3,3,5,3,2
44,3,4,3,2,2,5,2,1,3,5,4,4,2,5,3,2,2,1,2,2,5,4,5,1,3,4,3,2,2,3,5,1,1,3,1,4,1,4,4,3,1,2,1,5,1,2,5,5,5,2,3,5,3,3,3,5,2,1,5,1,1,1,5,4,4,4,3,4,5,1,2,3,5,1,1,5,4,4,4,3,3,2,1,5,3,3,3,1,1,5,5,1,2,1,4,5,2,2,5,3
45,5,3,5,1,5,3,2,3,3,3,5,1,5,2,2,4,4,4,4,5,4,3,4,4,1,5,5,5,4,5,3,4,2,1,2,2,2,5,3,5,3,1,1,4,4,5,2,4,2,5,5,5,2,3,2,2,3,1,2,5,3,5,3,4,3,4,2,3,5,2,3,2,4,5,2,3,3,1,5,3,2,3,4,3,5,3,2,5,1,5,2,2,2,4,1,2,4,4,4,3
46,2,1,5,2,1,3,5,1,1,1,2,5,4,3,3,3,3,3,3,3,3,5,3,3,4,1,2,4,4,4,3,2,4,5,4,4,2,2,5,3,4,2,2,4,1,1,4,1,4,4,4,3,4,2,4,4,1,2,3,5,4,3,1,5,3,1,3,3,2,4,5,1,4,4,2,3,1,4,4,1,2,1,4,5,3,3,3,5,4,5,2,2,2,3,5,4,4,5,3,4
47,1,2,1,1,2,4,4,1,4,2,1,3,4,3,2,3,3,4,2,3,4,3,4,4,5,5,2,5,5,2,4,2,5,4,2,3,1,1,1,5,1,3,1,2,4,2,5,4,2,2,3,5,2,2,4,5,1,4,4,3,2,2,5,4,3,2,3,5,2,2,2,5,1,5,2,4,5,4,2,2,5,2,3,5,4,3,5,2,1,3,5,3,1,5,3,5,4,1,5,4
48,4,2,3,2,5,4,5,1,3,5,1,1,1,3,1,2,2,4,5,1,5,3,3,1,3,5,1,5,2,4,2,1,2,3,3,5,1,5,4,5,3,2,4,2,3,3,3,2,1,3,3,3,2,5,5,1,2,5,1,5,1,4,4,1,3,3,1,2,3,2,5,2,4,3,4,1,4,4,5,5,4,1,2,3,5,1,1,3,4,5,3,3,3,5,2,5,2,5,1,1
49,3,4,3,4,1,4,1,5,2,3,3,3,2,2,3,1,2,1,3,5,1,3,1,2,1,2,1,4,5,2,2,2,3,2,5,3,4,3,4,4,2,5,2,1,1,2,3,3,2,3,5,3,2,2,5,2,5,5,4,2,5,3,1,1,5,4,1,1,2,1,5,3,1,3,1,1,1,4,1,1,4,3,2,5,5,1,4,4,2,2,1,2,2,3,5,3,2,4,4,5
50,5,2,5,5,5,3,5,3,1,4,4,5,3,5,4,5,5,2,2,5,3,5,4,1,2,2,2,4,4,5,3,1,2,5,2,3,5,5,3,3,2,4,2,5,4,1,3,4,4,2,1,4,5,4,2,2,2,1,5,4,2,5,3,5,4,5,2,2,2,2,2,5,1,3,3,2,5,2,3,1,4,5,3,3,1,5,4,1,2,3,3,5,2,4,3,3,5,4,1,2
51,3,3,1,3,3,4,2,2,2,5,1,2,1,3,1,2,2,4,3,2,1,5,3,2,3,2,1,1,3,5,5,4,5,3,3,4,2,2,1,1,2,5,5,4,2,5,2,5,2,3,5,2,2,2,4,5,1,4,1,1,2,2,4,1,1,1,2,4,1,4,2,1,1,3,2,3,1,1,2,2,4,2,5,1,1,3,3,3,3,4,2,2,3,2,3,3,4,3,1,1
52,5,4,3,5,5,1,3,4,3,1,4,3,2,3,2,3,2,3,5,5,5,2,4,5,3,5,1,2,4,5,2,4,2,5,3,3,3,3,4,1,2,5,1,1,3,2,5,2,4,2,5,2,1,4,1,5,1,1,2,3,3,4,4,2,3,5,5,5,3,2,3,5,3,1,3,3,4,4,5,5,4,2,5,3,4,3,5,5,1,4,5,5,5,2,5,1,4,4,3,2
53,5,2,1,4,1,4,4,1,1,5,1,2,4,4,5,4,3,2,2,1,2,3,3,2,4,4,3,3,1,4,1,4,1,2,5,1,4,3,3,4,4,2,3,2,2,1,2,3,3,2,5,1,4,1,5,1,1,5,3,1,3,3,1,2,4,3,4,5,1,4,2,2,5,3,5,5,3,1,1,2,5,2,2,1,3,3,5,2,5,4,3,2,4,2,5,4,4,3,2,4
54,3,1,5,4,2,5,1,5,3,5,2,4,3,3,1,5,2,3,3,3,1,2,2,4,2,5,3,1,2,3,2,4,5,1,3,2,2,2,5,5,5,4,1,1,5,4,3,4,3,3,2,2,3,1,4,5,1,5,3,4,4,3,5,1,3,4,4,2,4,2,2,4,2,5,1,4,2,1,3,2,3,1,2,2,3,1,3,3,3,5,1,1,3,1,4,1,3,2,3,2
55,1,5,3,2,2,5,1,3,1,4,5,4,1,5,2,4,5,5,4,4,4,3,5,4,4,5,3,3,3,2,3,4,1,5,1,2,1,4,4,3,3,5,5,4,2,2,4,5,5,5,2,4,4,5,5,2,2,1,5,1,3,2,1,5,5,1,5,4,4,2,4,3,2,5,5,2,5,1,3,3,5,1,5,5,2,5,3,4,3,1,1,4,2,2,3,4,4,4,5,5
56,2,4,4,4,5,4,1,3,2,3,2,1,3,4,1,5,3,1,2,3,4,4,3,4,4,1,5,4,2,4,4,1,5,4,3,4,3,3,1,4,1,2,1,2,4,4,2,4,4,2,4,1,3,2,4,5,1,5,4,4,4,1,4,2,5,4,5,3,5,2,1,2,1,3,5,5,5,5,5,4,2,4,1,3,1,4,1,1,4,5,1,5,3,3,4,3,3,4,3,4
57,2,1,5,3,5,2,1,5,2,3,2,3,5,1,2,2,2,3,3,1,1,5,1,1,5,5,2,2,5,2,1,5,3,5,2,4,1,4,5,4,1,1,5,3,5,5,1,3,1,3,5,3,4,5,3,5,3,2,4,4,5,4,5,5,4,3,5,1,4,2,1,2,2,5,4,5,5,2,1,3,1,4,1,4,5,2,5,1,1,2,5,2,5,3,1,3,1,2,4,4
58,4,4,5,3,4,2,4,5,3,2,2,1,2,4,1,2,4,3,5,2,5,3,4,1,5,5,1,5,4,1,5,3,3,3,2,4,1,4,1,1,5,3,5,2,4,5,1,5,4,3,1,5,2,2,3,1,1,5,5,2,2,2,5,3,1,4,1,1,5,3,2,2,2,1,5,1,2,3,4,5,2,4,1,3,5,4,3,5,3,5,2,1,2,2,2,1,2,3,5,3
59,1,3,2,3,4,2,2,3,1,4,2,5,5,5,5,3,2,2,1,5,2,5,4,1,4,1,1,1,4,3,5,1,2,5,1,3,4,5,2,1,1,1,4,2,4,4,1,1,4,1,5,1,1,2,2,4,5,3,2,3,3,3,3,4,5,1,2,3,1,1,5,5,5,5,4,1,2,3,3,1,3,3,3,4,3,3,4,1,4,3,1,2,3,4,4,5,1,2,3,1
60,4,5,5,3,5,5,4,4,5,4,4,2,2,2,5,5,2,1,5,4,2,3,2,3,4,5,2,5,1,1,1,1,2,2,3,1,5,2,1,3,4,4,1,1,5,5,2,4,1,2,1,4,2,2,5,3,4,5,1,5,2,3,4,2,3,5,2,3,1,3,4,5,3,3,2,3,4,5,1,5,1,4,4,1,5,1,1,1,5,4,4,5,2,2,3,2,5,4,1,4
61,4,1,1,1,4,1,1,3,5,1,4,3,1,5,4,3,1,3,1,2,2,4,4,3,4,4,2,3,1,2,3,2,1,1,1,3,4,2,1,1,5,4,2,2,2,1,2,4,3,2,4,3,4,4,3,4,5,1,5,1,2,1,1,4,2,2,3,2,5,4,5,5,3,4,4,4,2,4,2,5,5,2,4,3,5,5,3,2,5,3,1,3,4,3,3,5,4,4,5,5
62,1,4,5,4,4,3,5,5,3,4,1,2,4,4,3,1,4,4,4,4,5,1,4,3,4,1,5,4,4,5,1,5,4,1,2,2,3,2,5,1,1,3,3,4,4,2,3,4,3,4,3,5,5,3,4,3,5,2,2,2,4,1,2,4,3,5,5,2,2,2,5,5,5,5,4,3,3,2,3,2,3,3,4,3,3,3,4,4,2,2,3,5,3,4,2,5,1,2,1,3
63,2,2,5,1,3,1,1,3,3,1,5,2,4,3,3,1,5,1,3,3,5,5,4,3,2,1,5,2,4,5,3,3,2,2,1,5,1,2,4,3,3,1,1,1,5,3,4,5,1,3,5,3,1,2,2,3,4,2,3,1,4,5,5,3,4,2,2,2,4,3,1,3,2,1,4,1,4,5,1,3,1,2,3,2,2,5,2,4,3,3,4,4,3,4,3,2,3,2,2,2
64,4,1,2,2,3,1,2,5,4,1,3,1,3,5,2,2,5,1,5,3,4,4,2,2,2,1,3,1,2,1,4,2,4,2,1,4,3,2,2,5,1,3,3,2,3,3,5,3,1,3,3,5,5,2,2,3,3,5,1,3,5,2,5,5,4,2,4,4,1,4,2,2,4,5,3,5,1,4,3,5,4,2,3,1,3,2,4,3,3,4,1,5,3,1,4,1,5,4,4,1
